,x_index,y_index,lat,lon,n_cell,mask_cell,rrs_443,rrs_std_443,rrs_560,rrs_std_560,rrs_665,rrs_std_665,rrs_705,rrs_std_705
0,6,313,50.36771730924072,-4.132904188759266,1.0,0.0,0.0030651141314446,0.0,0.0051878625558831,0.0,0.0013794998053438,0.0,0.0009243522816942,0.0
1,7,312,50.36753473558193,-4.133181069431993,156.0,0.0,0.0024626509524176,0.00030047659812699757,0.00532650071853625,0.0002462148742630663,0.0015541123592259,0.00010327125162358778,0.00109530224449245,8.288872899919523e-05
2,7,314,50.36754021336675,-4.1326187437352395,3.0,0.0,0.003242421526599,0.00037976583122179686,0.0058806424538115,0.0006202521996301127,0.0016631226587777,0.000262578879245817,0.0011170005087015,0.00017813608775198148
3,8,314,50.367360378916935,-4.132614462687019,2.0,0.0,0.0032598505309263497,0.0006570131527357497,0.0067510560859773,0.0004975937756202999,0.00204924202989145,0.0002710911050341501,0.00139232014021525,0.00018945642703285
4,9,315,50.367183282299585,-4.13232902089302,17.0,0.0,0.0017903153409055,0.000559198754805168,0.0035288812719394,0.0013249796837562498,0.0014110676465101,0.00047545642354471706,0.0009498459991266,0.00031631217778177754
5,10,313,50.36699797149921,-4.1328870604046575,1.0,0.0,0.0024629830484529,0.0,0.0053691024180665,0.0,0.0015423020480923,0.0,0.0010513875556652,0.0
6,14,313,50.36627863366401,-4.132869932746,1.0,0.0,0.0039140732517962,0.0,0.0082749497151854,0.0,0.0029061790331431,0.0,0.0019520097006257,0.0
7,16,314,50.36592170310746,-4.132580215866741,1.0,0.0,0.0045389315574633,0.0,0.0095582838066938,0.0,0.0032500421123262,0.0,0.0021803053565651,0.0
8,18,314,50.36556203409654,-4.132571654596509,1.0,0.0,0.0045575180033603,0.0,0.0094227395194569,0.0,0.0031514664915152,0.0,0.0021022323992823,0.0
9,21,314,50.365022530536216,-4.132558813017272,1.0,0.0,0.004353944035491,0.0,0.0093165360037629,0.0,0.0030562040050868,0.0,0.0020357089431807,0.0
10,25,314,50.36430319237381,-4.132541691520335,1.0,0.0,0.0046702832424995,0.0,0.0096621404788554,0.0,0.0032306620220929,0.0,0.0021739441269122,0.0
11,29,313,50.36358111594746,-4.132805710223706,1.0,0.0,0.0045022756169477,0.0,0.0091905733338224,0.0,0.0030507650330587,0.0,0.0020542515795667,0.0
12,33,312,50.36285903888704,-4.133069721083787,1.0,0.0,0.0052859419184024,0.0,0.0126531377534225,0.0,0.0057471137649983,0.0,0.0039442281957498,0.0
13,37,311,50.36213696119256,-4.133333724101054,1.0,0.0,0.0050062417266883,0.0,0.0104136154283181,0.0,0.0035426078536261,0.0,0.0023750371972579,0.0
14,45,306,50.360684577996395,-4.134705073370638,1.0,0.0,0.004722078770693,0.0,0.0098612899686106,0.0,0.0033449925503732,0.0,0.0022667410575469,0.0
15,49,303,50.35995700801772,-4.135531275699564,1.0,0.0,0.0043234231439491,0.0,0.0093401339020717,0.0,0.0031211196662046,0.0,0.0021111078329969,0.0
16,55,301,50.35887250984202,-4.136067753740195,1.0,0.0,0.0043366377643815,0.0,0.0084586487464065,0.0,0.0026388013416776,0.0,0.0017953177503935,0.0
17,59,300,50.35815042530812,-4.136331690034767,1.0,0.0,0.0035752025497013,0.0,0.0068755188395904,0.0,0.0019782602416106,0.0,0.0013697525234904,0.0
18,65,299,50.3570686711014,-4.136587029459355,1.0,0.0,0.0041188637700659,0.0,0.0079109033709553,0.0,0.0024479195499101,0.0,0.0016725688010485,0.0
19,71,298,50.355986916213766,-4.136842357671887,1.0,0.0,0.0038295943395676,0.0,0.0070438496474803,0.0,0.0020892112077719,0.0,0.0014260917423063,0.0
20,75,298,50.35526757799414,-4.136825176933764,1.0,0.0,0.0039157822889058,0.0,0.0072057988644121,0.0,0.0021287552872142,0.0,0.0014493391686122,0.0
21,83,294,50.353817904801375,-4.137915143204045,1.0,0.0,0.0038516783263655,0.0,0.00714318502079,0.0,0.0021537948321844,0.0,0.0014650847550627,0.0
22,87,290,50.3530875595195,-4.139022255551169,1.0,0.0,0.0037075631876431,0.0,0.0069159850566203,0.0,0.001975327442259,0.0,0.0012761050259822,0.0
23,92,286,50.35217736938228,-4.140125026823644,1.0,0.0,0.003843681061871,0.0,0.0071415964726049,0.0,0.0021438697306862,0.0,0.0014649031854634,0.0
24,95,284,50.351632353227146,-4.140674242142024,1.0,0.0,0.0038763692499249,0.0,0.0071822587143101,0.0,0.0021251237304894,0.0,0.0014283851918336,0.0
25,103,276,50.35017160044517,-4.142888246795888,1.0,0.0,0.0034920632871118,0.0,0.0060594086608883,0.0,0.0016701892507289,0.0,0.0011115707860759,0.0
26,107,272,50.349441208455815,-4.14399519818792,1.0,0.0,0.0037961839848327,0.0,0.0069815184915543,0.0,0.0018689850316188,0.0,0.0012463383827414,0.0
27,111,267,50.348708038085114,-4.145383166077157,1.0,0.0,0.0039030690375625,0.0,0.0065926642961568,0.0,0.0017736881313809,0.0,0.001177717782259,0.0
28,117,262,50.34761518299369,-4.14676242811953,1.0,0.0,0.0038787033806363,0.0,0.0070403192207198,0.0,0.0018786923753019,0.0,0.0012207149229076,0.0
29,122,258,50.34670492047733,-4.147864925169843,1.0,0.0,0.0035406505472279,0.0,0.0067844258055829,0.0,0.0018655858366679,0.0,0.0012658696020453,0.0
30,126,254,50.345974481751206,-4.148971719709934,1.0,0.0,0.0035217833417031,0.0,0.0067818190303942,0.0,0.0018943406597619,0.0,0.0012818838428477,0.0
31,132,249,50.34488158468875,-4.150350820532333,1.0,0.0,0.0033795475799798,0.0,0.0066591099259165,0.0,0.001906260880407,0.0,0.0013251065894942,0.0
32,137,246,50.343974071091395,-4.151172164089294,1.0,0.0,0.003720660961356,0.0,0.0068235684345894,0.0,0.0019326029755089,0.0,0.0012989587864507,0.0
33,141,243,50.34324638575733,-4.15199782706709,1.0,0.0,0.0035724826056125,0.0,0.0066836830069055,0.0,0.0018754747394547,0.0,0.0012420445824886,0.0
34,146,239,50.342336074302935,-4.153100123443678,1.0,0.0,0.0034549880493395,0.0,0.0067981110504469,0.0,0.0019949613549832,0.0,0.0013840446536074,0.0
35,151,236,50.341428541552425,-4.15392137118394,1.0,0.0,0.0033579398436031,0.0,0.0066052662706892,0.0,0.0018433221742142,0.0,0.0012405275964713,0.0
36,155,233,50.3407008369722,-4.154746948338348,1.0,0.0,0.0035832625485844,0.0,0.0067810998621347,0.0,0.0019096496250969,0.0,0.0013041906566377,0.0
37,160,229,50.33979049982699,-4.155849133619324,1.0,0.0,0.0035731772499804,0.0,0.0066940080014606,0.0,0.0017382261165802,0.0,0.0011321929995549,0.0
38,164,226,50.339062781753775,-4.156674653109791,1.0,0.0,0.0031730183003791,0.0,0.00656055477639,0.0,0.0017732425515189,0.0,0.001193307366656,0.0
39,169,222,50.33815242659574,-4.157776763851344,1.0,0.0,0.0031363792626566,0.0,0.0065293863419696,0.0,0.0017716677023166,0.0,0.001205445680988,0.0
40,174,219,50.3372448612785,-4.158597851112648,1.0,0.0,0.0036731400311388,0.0,0.0064657633973202,0.0,0.0016837879447269,0.0,0.0010713260411266,0.0
41,186,210,50.33506163201839,-4.161074076784437,1.0,0.0,0.0040057541382178,0.0,0.0069173861911182,0.0,0.0017204545960592,0.0,0.0011548657977236,0.0
42,192,207,50.33397421009527,-4.161890662040799,1.0,0.0,0.0031615093437515,0.0,0.006092381504044,0.0,0.0015603328961378,0.0,0.0010654725255589,0.0
43,201,204,50.332347281576645,-4.162694042380727,1.0,0.0,0.0033408449774328,0.0,0.0055606169335649,0.0,0.00142288527337,0.0,0.0009445180157649,0.0
44,205,202,50.33162232672455,-4.16323838155171,1.0,0.0,0.0033203595130405,0.0,0.006112528303121,0.0,0.0015904531982099,0.0,0.001081041201279,0.0
45,215,200,50.32981836750272,-4.163756346293436,1.0,0.0,0.0032002888111486,0.0,0.0058574345993317,0.0,0.0014942988242827,0.0,0.0010252623629793,0.0
46,220,200,50.32891919913578,-4.163734382516113,1.0,0.0,0.0031955443797613,0.0,0.0056832694843357,0.0,0.0014323182506175,0.0,0.0009728015462865,0.0
47,241,195,50.32512862440799,-4.165046694383205,1.0,0.0,0.0027725848531362,0.0,0.0048004009875789,0.0,0.0011191720653855,0.0,0.00074227570338,0.0
